Index,Average R,Average G,Average B,ripeness_factor
0,226.13872,213.276756,143.833948,1
1,178.99975444041883,132.5774438791117,9.811511271886374,1
2,198.63683374689828,175.1533829611249,124.69473283705541,1
3,198.63683374689828,175.1533829611249,124.69473283705541,1
4,198.63683374689828,175.1533829611249,124.69473283705541,1
5,197.1935206671501,158.55256707759247,84.74718999274837,1
6,197.22869854330614,158.5421938909752,84.71920730978066,1
7,235.56271520389168,179.64699326022856,12.980096612449554,1
8,227.67370225694444,217.64598958333335,173.3232248263889,1
9,236.90200817221447,228.46808351604545,203.4162098863863,1
10,190.04090177133656,157.47563837129056,94.15366919714745,1
11,238.4906312067476,229.88094088726987,204.93462062577376,1
12,207.68220576131688,175.7909574759945,48.525289437585734,1
13,228.56421100683397,212.71113438326555,145.006786006786,1
14,246.0475201388889,236.7967673611111,204.4157375,1
15,233.5274730538922,217.17154491017965,169.7927604790419,1
16,236.55587063454973,220.78801872519742,165.84318043201026,1
17,163.97015,130.21306041666668,188.97996875,1
18,212.16185070873343,191.39051440329217,159.33888831732966,1
19,200.83841720239414,189.92749944579916,146.5167091553979,1
20,175.60398481973434,136.24829222011385,48.54648956356736,1
21,172.96756944444445,166.01714313271606,148.28582561728396,1
22,241.1543,220.34586666666667,151.65503333333334,1
23,158.0938525787045,139.02024706500788,80.73842941416973,1
24,203.4182551319648,152.15055935701096,51.007620560443144,1
25,211.61882962962963,188.94632098765433,138.89284444444445,1
26,218.95384354318682,211.46058412051963,162.903557893546,1
27,219.6114241901476,211.82957638489555,162.74542840713053,1
28,220.437510069204,204.42021112666077,169.71955593708321,1
29,246.15220588235294,236.9912330316742,214.4687374308698,1
30,252.72591194968552,238.72105870020965,201.63252620545074,1
31,150.08395721925135,134.4338284808873,86.45549118637354,1
32,175.92716240333135,156.13039064049178,109.4102835613722,1
33,162.07088,153.170212,135.666928,1
34,215.07254528122021,199.4879973601232,160.9955503409841,1
35,79.0953052054155,77.1259768907563,75.47233485060691,1
36,141.606132526892,99.27541247176818,30.569618088785106,1
37,241.5873,224.51971111111112,183.54606666666666,1
38,209.25256596060945,175.74893905611296,22.846640654031958,1
39,218.4891677342606,213.49389040766837,178.65111697016837,1
40,245.4352,229.327392,170.550272,1
41,202.98750125,178.295835,148.1134975,1
42,216.4640375,168.92401875,3.77551875,1
43,249.69173699863356,234.30607748573266,181.57738365083193,1
44,245.45670266729374,234.31690489787692,180.40391947729105,1
45,232.87578462577162,172.28763985339506,195.64182436342594,1
46,235.82406684027777,192.8338107638889,111.55713975694445,1
47,214.08858120788193,181.4638611063721,166.4402643308027,1
48,134.24787522603978,87.19716696805304,30.77298071127185,1
49,235.9027218527804,193.12983495148035,113.64381915691365,1
50,85.70144901394902,162.5936848645182,132.95143899310565,1
51,211.37014643351236,206.37603886922201,170.75629552205405,1
52,127.28525733947754,82.0818920135498,41.627800941467285,1
53,234.64469419451586,225.5845822622108,190.5739610111397,1
54,205.3543733933162,180.81406116109682,70.52883997429306,1
55,199.45647707797772,191.6077763496144,163.68227881319623,1
56,185.42881266066837,214.07884640102827,178.9560850471294,1
57,156.22920026370505,143.3994320198793,106.67718444140169,1
58,122.58232618440714,126.46470950162609,66.03971829128945,1
59,183.40006395452122,171.37674187244627,142.51267720731923,1
60,204.57210344827587,193.31854022988506,146.00139463601533,1
61,212.9591302871704,188.9206142425537,118.97291660308838,1
62,120.81591513539652,126.30551861702128,80.45524057059961,1
63,136.4944636027018,109.25281016031902,47.38263448079427,1
64,246.25762273901807,232.19762440610154,193.8350420938568,1
65,135.01278018951416,113.8067045211792,48.85227584838867,1
66,240.625216740227,224.2541700819672,185.54702317150063,1
67,163.31135323383086,97.9541815920398,7.603532338308458,1
68,174.1549962692992,145.46567345298908,60.087114938381944,1
69,224.8562008032249,226.05450841162497,154.23192556121322,1
70,247.29361458333332,228.75968333333333,160.76876354166666,1
71,217.82879122033185,193.6677932443528,131.18996200187127,1
72,245.56172279691995,235.27739285992067,217.23396437738197,1
73,127.16931753783585,156.90152676845122,163.143424144943,1
74,127.16931753783585,156.90152676845122,163.143424144943,1
75,106.74800882167612,91.40497164461247,61.325888468809076,1
76,145.48687170122264,112.87685200797911,45.87291972219483,1
77,237.1911935483871,199.6213245967742,11.739130376344086,1
78,190.87425068870525,173.60808539944904,80.07739393939394,1
79,202.4453443877551,192.19738520408163,122.53936366213152,1
80,228.76175746119034,211.04516239903762,139.4544194306009,1
81,147.3063320825516,106.48179643527205,23.109258911819886,1
82,124.43613238770686,106.16464775413712,48.88017494089834,1
83,179.31461352657004,164.36693936214397,76.71906900998972,1
84,163.59742032596284,156.6422843350981,153.12366863905325,1
85,226.6851707014277,223.73235878336436,190.69399751707013,1
86,224.28732167461578,210.96891679915208,170.79646104928457,1
87,171.2365518441197,153.70771572720946,99.2357602644398,1
88,105.26808793371112,96.84376497345505,62.16903792955848,1
89,235.15654219347252,206.86217779084583,126.7806429481525,1
90,210.02442028985507,194.96210144927537,163.83891304347827,1
91,178.20226231386025,160.1528636884307,64.1081710576556,1
92,240.6629012345679,225.4325044091711,127.86165784832451,1
93,176.63268181818182,141.92506818181818,79.26470454545455,1
0,129.01702702702704,156.11373573573573,77.23992792792792,0
1,121.15903645833333,113.19542561848958,42.14785400390625,0
2,230.605472,230.59154,207.540336,0
3,209.9709,217.137528,171.728552,0
4,122.35019434655696,146.2851870302031,84.45952893646304,0
5,91.01569939711575,81.03317040900215,42.538637258931935,0
6,123.5675146484375,155.89860595703124,32.35330078125,0
7,142.32429085457272,141.4681964017991,74.22863268365818,0
8,110.73492215568862,144.45364670658682,60.33377245508982,0
9,118.66519637462235,142.38689425981872,41.9539335347432,0
10,144.2173077963534,136.16915544013418,48.2723313314938,0
11,126.92093413173653,156.7368263473054,77.51170059880239,0
12,223.01640718562874,228.1618622754491,191.51128143712575,0
13,146.9851277777778,159.95444444444445,112.12426296296296,0
14,67.48030955428837,85.50472477598045,42.50292874044765,0
15,175.8916896488325,169.88500643500643,121.13553042838757,0
16,129.65200833333333,155.23005208333333,86.573325,0
17,145.9887698943924,116.10434329912242,42.753458277554664,0
18,147.8365522641263,118.14093696985515,44.418895993736136,0
19,111.86113932291667,138.09810546875,78.27214192708334,0
20,123.01625679012346,142.15806419753088,96.72507654320988,0
21,111.34208857998662,133.46681303981157,93.3238142321226,0
22,131.00756582515845,127.35953941760813,110.56729121143087,0
23,134.44238977542804,161.234418198574,93.72516612504243,0
24,105.04399120041852,125.21653990440292,35.962080868511535,0
25,129.92681820579082,154.69288539633985,94.5719107642002,0
26,115.40069183183941,129.72982704204014,74.82520641333166,0
27,81.95979306487696,102.02669276659209,43.05084638329605,0
28,83.91913857677902,119.96177902621723,38.95878277153558,0
29,122.4310017694835,113.04039119304112,59.44757701671127,0
30,125.71482035206174,152.51728799935697,83.31614902339041,0
31,131.57681064466553,152.91081048289251,62.20465097468252,0
32,208.3570076051529,225.8876455067515,168.06363107248177,0
33,129.57162876955329,142.06483389775843,68.67642638284148,0
34,127.08191785589976,129.37955389256294,75.45176180531384,0
35,97.0357049721836,105.96120334955957,73.04544506258692,0
36,138.74844778055788,178.87566490594014,64.37338986192198,0
37,112.11456715698095,131.59543364681295,57.97215818664095,0
38,75.98677537744445,112.8499297566713,37.59673432049109,0
